day,inflow,inflow(mm)
2018/1/1 1:00,,
2018/1/1 2:00,28040,0.280961924
2018/1/1 3:00,55440,0.555511022
2018/1/1 4:00,13700,0.137274549
2018/1/1 5:00,0,0
2018/1/1 6:00,13700,0.137274549
2018/1/1 7:00,41100,0.411823647
2018/1/1 8:00,41100,0.411823647
2018/1/1 9:00,13700,0.137274549
2018/1/1 10:00,13700,0.137274549
2018/1/1 11:00,27400,0.274549098
2018/1/1 12:00,0,0
2018/1/1 13:00,13700,0.137274549
2018/1/1 14:00,39620,0.396993988
2018/1/1 15:00,42100,0.421843687
2018/1/1 16:00,28400,0.284569138
2018/1/1 17:00,28400,0.284569138
2018/1/1 18:00,28400,0.284569138
2018/1/1 19:00,42100,0.421843687
2018/1/1 20:00,28400,0.284569138
2018/1/1 21:00,28040,0.280961924
2018/1/1 22:00,28040,0.280961924
2018/1/1 23:00,-13700,-0.137274549
2018/1/2 0:00,41100,0.411823647
2018/1/2 1:00,13700,0.137274549
2018/1/2 2:00,13700,0.137274549
2018/1/2 3:00,27400,0.274549098
2018/1/2 4:00,0,0
2018/1/2 5:00,27400,0.274549098
2018/1/2 6:00,13700,0.137274549
2018/1/2 7:00,13700,0.137274549
2018/1/2 8:00,13700,0.137274549
2018/1/2 9:00,0,0
2018/1/2 10:00,0,0
2018/1/2 11:00,13700,0.137274549
2018/1/2 12:00,13700,0.137274549
2018/1/2 13:00,13700,0.137274549
2018/1/2 14:00,40340,0.404208417
2018/1/2 15:00,29120,0.291783567
2018/1/2 16:00,15420,0.154509018
2018/1/2 17:00,28760,0.288176353
2018/1/2 18:00,42460,0.425450902
2018/1/2 19:00,42460,0.425450902
2018/1/2 20:00,28760,0.288176353
2018/1/2 21:00,42100,0.421843687
2018/1/2 22:00,1000,0.01002004
2018/1/2 23:00,55800,0.559118236
2018/1/3 0:00,27400,0.274549098
2018/1/3 1:00,13700,0.137274549
2018/1/3 2:00,41100,0.411823647
2018/1/3 3:00,-13700,-0.137274549
2018/1/3 4:00,13700,0.137274549
2018/1/3 5:00,41100,0.411823647
2018/1/3 6:00,13700,0.137274549
2018/1/3 7:00,0,0
2018/1/3 8:00,13700,0.137274549
2018/1/3 9:00,0,0
2018/1/3 10:00,0,0
2018/1/3 11:00,13700,0.137274549
2018/1/3 12:00,27400,0.274549098
2018/1/3 13:00,13700,0.137274549
2018/1/3 14:00,56160,0.562725451
2018/1/3 15:00,28400,0.284569138
2018/1/3 16:00,42100,0.421843687
2018/1/3 17:00,14340,0.143687375
2018/1/3 18:00,55800,0.559118236
2018/1/3 19:00,28040,0.280961924
2018/1/3 20:00,55800,0.559118236
2018/1/3 21:00,14700,0.147294589
2018/1/3 22:00,55800,0.559118236
2018/1/3 23:00,28040,0.280961924
2018/1/4 0:00,42100,0.421843687
2018/1/4 1:00,0,0
2018/1/4 2:00,27400,0.274549098
2018/1/4 3:00,27400,0.274549098
2018/1/4 4:00,13700,0.137274549
2018/1/4 5:00,27400,0.274549098
2018/1/4 6:00,13700,0.137274549
2018/1/4 7:00,27400,0.274549098
2018/1/4 8:00,13700,0.137274549
2018/1/4 9:00,0,0
2018/1/4 10:00,27400,0.274549098
2018/1/4 11:00,0,0
2018/1/4 12:00,13700,0.137274549
2018/1/4 13:00,70940,0.710821643
2018/1/4 14:00,29480,0.295390782
2018/1/4 15:00,29480,0.295390782
2018/1/4 16:00,42820,0.429058116
2018/1/4 17:00,29120,0.291783567
2018/1/4 18:00,42460,0.425450902
2018/1/4 19:00,28760,0.288176353
2018/1/4 20:00,42460,0.425450902
2018/1/4 21:00,42460,0.425450902
2018/1/4 22:00,42460,0.425450902
2018/1/4 23:00,-27400,-0.274549098
2018/1/5 0:00,13700,0.137274549
2018/1/5 1:00,27400,0.274549098
2018/1/5 2:00,13700,0.137274549
2018/1/5 3:00,27400,0.274549098
2018/1/5 4:00,13700,0.137274549
2018/1/5 5:00,13700,0.137274549
2018/1/5 6:00,13700,0.137274549
2018/1/5 7:00,13700,0.137274549
2018/1/5 8:00,13700,0.137274549
2018/1/5 9:00,13700,0.137274549
2018/1/5 10:00,13700,0.137274549
2018/1/5 11:00,0,0
2018/1/5 12:00,13700,0.137274549
2018/1/5 13:00,0,0
2018/1/5 14:00,56880,0.56993988
2018/1/5 15:00,29480,0.295390782
2018/1/5 16:00,29120,0.291783567
2018/1/5 17:00,15060,0.150901804
2018/1/5 18:00,42460,0.425450902
2018/1/5 19:00,28760,0.288176353
2018/1/5 20:00,28760,0.288176353
2018/1/5 21:00,42460,0.425450902
2018/1/5 22:00,-13700,-0.137274549
2018/1/5 23:00,27400,0.274549098
2018/1/6 0:00,13700,0.137274549
2018/1/6 1:00,13700,0.137274549
2018/1/6 2:00,13700,0.137274549
2018/1/6 3:00,13700,0.137274549
2018/1/6 4:00,27400,0.274549098
2018/1/6 5:00,0,0
2018/1/6 6:00,27400,0.274549098
2018/1/6 7:00,13700,0.137274549
2018/1/6 8:00,0,0
2018/1/6 9:00,13700,0.137274549
2018/1/6 10:00,0,0
2018/1/6 11:00,13700,0.137274549
2018/1/6 12:00,13700,0.137274549
2018/1/6 13:00,0,0
2018/1/6 14:00,56880,0.56993988
2018/1/6 15:00,15780,0.158116232
2018/1/6 16:00,29120,0.291783567
2018/1/6 17:00,29120,0.291783567
2018/1/6 18:00,42460,0.425450902
2018/1/6 19:00,28760,0.288176353
2018/1/6 20:00,28760,0.288176353
2018/1/6 21:00,42460,0.425450902
2018/1/6 22:00,-13700,-0.137274549
2018/1/6 23:00,13700,0.137274549
2018/1/7 0:00,27400,0.274549098
2018/1/7 1:00,13700,0.137274549
